step,pop,avg_rep,avg_death,avg_mut
576,476213,0.0400326,0.0198669,0.0400017
577,476363,0.0400326,0.0198671,0.0400017
578,476464,0.0400324,0.0198673,0.0400014
579,476620,0.0400325,0.0198667,0.0400012
580,476720,0.0400332,0.0198668,0.040001
581,476752,0.0400329,0.019867,0.0400014
582,477094,0.0400332,0.019867,0.0400012
583,477004,0.0400335,0.0198666,0.0400014
584,476750,0.0400332,0.0198665,0.0400012
585,476827,0.0400333,0.0198666,0.0400018
586,476872,0.0400332,0.0198668,0.0400019
587,476720,0.0400334,0.019867,0.0400019
588,476768,0.0400333,0.0198665,0.0400018
589,476875,0.0400335,0.0198666,0.0400016
590,476602,0.0400331,0.019866,0.0400011
591,476554,0.040033,0.0198664,0.0400013
592,476384,0.040033,0.019866,0.0400015
593,476469,0.0400335,0.0198655,0.0400013
594,476435,0.0400333,0.0198652,0.0400012
595,476449,0.0400334,0.0198651,0.0400013
596,476507,0.0400334,0.0198653,0.0400016
597,476551,0.0400329,0.0198651,0.0400012
598,476491,0.0400327,0.0198655,0.0400012
599,476615,0.0400326,0.0198653,0.0400004
600,476872,0.0400328,0.0198651,0.0400002
601,476803,0.0400331,0.0198649,0.0400003
602,476879,0.0400331,0.0198651,0.0400001
603,476763,0.0400332,0.0198648,0.0400002
604,476886,0.0400331,0.0198647,0.0400002
605,476733,0.0400329,0.0198642,0.0399999
606,476509,0.0400322,0.0198646,0.0399994
607,476161,0.0400325,0.0198642,0.0399996
608,476088,0.0400324,0.0198635,0.0399999
609,476166,0.0400324,0.0198636,0.0400002
610,476327,0.0400326,0.0198636,0.0399998
611,476268,0.040033,0.0198632,0.0399997
